Date,Open,High,Low,Close,Volume
3/9/2016,1170.5,1184.699951,1147.569946,1178.619995,2017784
3/10/2016,1178.030029,1179.930054,1157.469971,1174.150024,1661666
3/11/2016,1170,1195.430054,1167.5,1182.619995,1530528
3/14/2016,1181,1199,1170,1177.5,1636742
3/15/2016,1174.530029,1181.75,1160.050049,1164.949951,1623356
3/16/2016,1157.5,1166,1153.449951,1163.530029,1918246
3/17/2016,1167,1180.900024,1166,1176.030029,2221088
3/18/2016,1180,1215,1180,1212.930054,3204070
3/21/2016,1213,1227.469971,1210,1223.119995,2336982
3/22/2016,1221,1242.5,1218.25,1236.550049,1951984
3/23/2016,1243.949951,1243.949951,1228.650024,1236.900024,2278434
3/28/2016,1245.5,1258.569946,1230.780029,1236.699951,3320882
3/29/2016,1239,1243.469971,1227.5,1234.699951,1838796
3/30/2016,1235.449951,1252.5,1230,1244.75,2136504
3/31/2016,1239.150024,1275,1236.069946,1260.150024,4363964
4/1/2016,1252.5,1260.430054,1217.050049,1226.949951,3041400
4/4/2016,1228,1244,1223.5,1235.619995,1752352
4/5/2016,1235.400024,1242.449951,1221.030029,1231.380005,1491794
4/6/2016,1235,1244.5,1229.680054,1240.949951,1763150
4/7/2016,1240,1242.349976,1228.5,1235.400024,2390942
4/8/2016,1233,1236.849976,1213.5,1216.030029,1399500
4/11/2016,1216.5,1258.5,1206.5,1253.319946,2400648
4/12/2016,1249,1262.5,1244.050049,1259.069946,1303628
4/13/2016,1265,1272.5,1256.25,1263.099976,1601468
4/18/2016,1226.5,1276.75,1220,1259.880005,7121504
4/20/2016,1267.449951,1267.449951,1220,1225.180054,6405024
4/21/2016,1225.5,1233.699951,1206.099976,1212.199951,2525724
4/22/2016,1209.5,1217.699951,1202.099976,1208.530029,1964126
4/25/2016,1201.150024,1228.530029,1201.150024,1225.619995,2267654
4/26/2016,1224.5,1246.75,1221,1244.900024,2554368
4/27/2016,1240,1257.300049,1237.949951,1255.550049,1848670
4/28/2016,1250.650024,1270,1249.050049,1263.880005,4992744
4/29/2016,1258.5,1271,1255,1267.75,2372178
5/2/2016,1264.5,1265,1250,1263.349976,1116692
5/3/2016,1262.5,1265,1236,1239.050049,2153118
5/4/2016,1236.949951,1247.030029,1228.5,1239,1364892
5/5/2016,1239,1244.969971,1231.780029,1235.150024,1246566
5/6/2016,1232.5,1242.150024,1215.5,1236.699951,885598
5/9/2016,1236.699951,1259,1228.199951,1256.280029,1821276
