Date,Open,High,Low,Close,Volume,A/D line,ohlc,aroon up,aroon down,ATR,DMI+,DMI-,ADX,sma18,upper bb,lower bb,CMF,ema2,macd,signal,histogram,Mfi,OBV,PPO,ROC,ROC%,ROC Ratio,stdev,median P,AO,mom cp,mom low,mom high,mom op,WMA3,UPC,LPC,TMA20,PCp,Phigh,Plow,rsi2,stsd,stck,b%,Dx
4/2/2008,829,849,805.5,810.650024,243586,-281035.7126,823.537506,40,0,40.03657708,14.56427505,20.16572014,7.311179961,846.2055529,852.9888385,800.0011519,0.022075928,813.9655122,-7.457551802,-4.39227015,-3.065281652,42.01708423,-3657217,-0.889996623,-609.9976,-0.006251886,0.993748114,13.96348145,827.25,-1.787648259,-2.699952,0.349976,24.150024,19,815.075012,863.950012,790,875.5403797,815.75,855,807.549988,0,13.8427293,21.75976689,0.200968805,16.12855129
4/3/2008,818.849976,819.700012,775,786.900024,760056,-636407.9447,800.112503,30,90,40.36967957,13.41237931,21.02136525,8.077711158,837.6888869,858.9488293,788.7511707,0.022144484,795.8316351,-10.421345,-5.59808512,-4.823259881,43.47243005,-4417273,-1.24902526,-2475,-0.029297476,0.970702524,18.4987073,797.350006,-9.847794294,-35.549988,-26.599976,-16.549988,-11.150024,799.62502,863.950012,775,877.1038914,810.650024,849,805.5,0,13.2426012,11.91193307,-0.026370491,22.09746876
4/4/2008,790.200012,792,761.150024,764.599976,475666,-1005686.512,776.987503,20,90,39.68970074,12.66772484,24.01151663,9.450753898,828.6194424,868.0800432,768.0499496,-0.046290063,774.9064235,-14.43880324,-7.366228745,-7.072574499,45.53218049,-4892939,-1.740715592,-2330.0048,-0.028339112,0.971660888,26.36024418,776.575012,-21.14529172,-45.600036,-28.849976,-71.549988,-73.349976,779.7083333,863.950012,761.150024,872.9959772,786.900024,819.700012,775,0,10.9867162,3.355984828,-0.034489357,30.92700757
4/7/2008,768,769.900024,738.049988,759.650024,917326,-678789.4524,758.900009,10,90,39.12972469,11.9312232,22.61548682,10.69675988,821.0972222,874.1612303,751.8587649,-0.109677401,764.6846358,-17.85899271,-9.464781538,-8.394211172,44.47290052,-5810265,-2.165809583,-594.9952,-0.006473911,0.993526089,32.22952951,753.975006,-33.14073187,-84.199952,-77.950012,-94.049988,-57,765.8416747,863.950012,738.049988,859.9665939,764.599976,792,761.150024,0,22.96472404,17.15649872,0.063704841,30.92700757
4/8/2008,765,765,740.099976,744.650024,550601,-1028164.865,753.6875,0,90,38.1133175,11.37444791,24.37129198,12.33077542,814.3194444,872.6215832,733.5584216,-0.224828688,751.2614459,-21.57513306,-11.88685184,-9.688281217,43.67627272,-6360866,-2.63435284,-1600,-0.019745935,0.980254065,36.64636078,752.549988,-46.99014448,-100.949952,-94.950012,-91,-85,752.975016,856,738.049988,846.0540373,759.650024,769.900024,738.049988,0,30.3796769,5.242283353,0.079759458,36.35914127
4/9/2008,745,745,725.099976,733.650024,786701,-1138853.483,737.1875,0,90,36.81236796,11.682275,23.43024705,14.16748228,807.4444444,866.321173,717.4688414,-0.183198256,739.4617932,-25.16620311,-14.54272209,-10.62348101,37.01880197,-7147567,-3.095405969,-1200,-0.01477204,0.98522796,39.22603358,735.049988,-63.06397006,-104.649964,-105.900024,-103.5,-95.25,741.650024,855,725.099976,835.635517,744.650024,765,740.099976,0,21.07545173,6.157757136,0.108706276,33.45806956
4/10/2008,736,748.849976,730,737.900024,685402,-1249751.595,738.1875,0,80,35.52933997,11.23956121,22.54232979,16.22261619,801.7527804,855.6172127,708.0928089,-0.176296984,738.4154078,-27.40069885,-17.11431745,-10.2863814,36.78077481,-6462165,-3.392184844,325,0.005792953,1.005792953,38.87609389,739.424988,-72.51220825,-99.899964,-92,-106.150024,-98.75,737.6083573,855,725.099976,828.8903646,733.650024,745,725.099976,27.86885246,37.66180889,9.218613382,0.202049385,33.45806956
4/11/2008,745,747.900024,730.5,739.150024,300751,-1251479.632,740.637512,10,70,34.23438883,13.3352638,21.72394409,17.58460048,796.5555589,839.2888999,704.6911289,-0.135030424,738.9076007,-28.77936039,-19.44732604,-9.332034359,34.95055937,-6161414,-3.584172352,25,0.001693996,1.001693996,35.46962702,739.200012,-78.62544389,-87.849976,-80.5,-92.099976,-95,737.8166907,855,725.099976,822.2611686,737.900024,748.849976,730,100,51.21812106,10.11886522,0.256013861,23.92718147
4/15/2008,739.150024,759.900024,727.599976,756.299988,241386,-1063901.496,745.737503,0,60,34.09622162,13.50132313,20.2539772,18.66640911,793.7638922,821.6406592,708.1993672,-0.124812738,750.5605002,-28.19501194,-21.19686322,-6.998148725,30.25060348,-5920028,-3.525738543,1614.9964,0.023202278,1.023202278,29.8944053,743.75,-79.83294492,-59.450012,-79.950012,-95.099976,-100.849976,747.5166727,855,725.099976,817.6767695,739.150024,747.900024,730.5,100,68.69784873,23.83499334,0.424013337,20.00472224
4/16/2008,765,765,751.299988,756.099976,393856,-1181771.741,759.349991,0,50,32.63934951,13.42479786,19.6467353,19.81961459,790.5833367,804.4802661,713.4297555,-0.152556979,754.271949,-27.45303783,-22.44809814,-5.004939687,26.79351063,-6313884,-3.446105184,-120.0012,-0.000264461,0.999735539,23.9939163,758.149994,-78.58647348,-54.550048,-54.200012,-84,-64,753.3416547,849,725.099976,813.2597462,756.299988,759.900024,727.599976,98.84719149,82.52877696,23.86450675,0.468643396,18.81357422
