8/4/2009,1469.849976,1515.900024,1450,1492.550049
8/5/2009,1515,1515,1431.300049,1441.699951
8/6/2009,1443,1443.800049,1342.199951,1364.699951
8/7/2009,1350,1355,1282,1293.400024
8/10/2009,1319.849976,1332.800049,1225.099976,1248.550049
8/11/2009,1220,1309.5,1220,1296.300049
8/12/2009,1272,1298.900024,1255.800049,1290.099976
8/13/2009,1330,1385.900024,1301,1373.099976
8/14/2009,1370,1385,1342,1349.25
8/17/2009,1325,1330,1265.550049,1275.599976
8/18/2009,1280,1319,1266.25,1300.400024
8/19/2009,1308,1330,1275.050049,1301.849976
8/20/2009,1320,1375,1316.300049,1370.5
8/21/2009,1366,1390,1348.75,1388.199951
8/24/2009,1402.050049,1441.900024,1395,1431.699951
8/25/2009,1428,1448,1411,1417.75
8/26/2009,1435,1435,1391.050049,1405.25
8/27/2009,1398,1425,1383.599976,1415.900024
8/28/2009,1425,1437,1390,1421.400024
8/31/2009,1411.150024,1459,1393.300049,1437.75
9/1/2009,1447,1561,1445.650024,1540.449951
9/2/2009,1545,1569.900024,1502,1509.300049
9/3/2009,1527.650024,1538.300049,1494.099976,1507.400024
9/4/2009,1510,1555.400024,1506,1546.599976
9/7/2009,1560,1584.75,1542.800049,1554.599976
9/8/2009,1570,1572,1513.099976,1517.75
9/9/2009,1519,1542,1505.599976,1513.050049
9/10/2009,1521.400024,1547,1482.099976,1489.099976
9/11/2009,1519.349976,1519.349976,1446.349976,1468.599976
9/14/2009,1459.800049,1489.599976,1454.599976,1474.400024
9/15/2009,1479.599976,1509,1464,1500
9/16/2009,1500,1530,1495.150024,1517.300049
9/17/2009,1523.5,1576.449951,1521.400024,1559.949951
9/18/2009,1560,1650,1540.199951,1639.300049
9/22/2009,1648.599976,1688,1639.900024,1657.849976
9/23/2009,1659.800049,1674.5,1642,1654.199951
9/24/2009,1645,1656,1612,1635.199951
9/25/2009,1625,1674,1618.699951,1637.900024
9/29/2009,1648,1668,1621,1638.400024
9/30/2009,1642,1737.300049,1629,1701.400024
10/1/2009,1715,1715,1647.599976,1655.949951
10/5/2009,1647,1647,1587.599976,1597.050049
10/6/2009,1619,1628.949951,1577.199951,1599.25
10/7/2009,1609.800049,1614.5,1533.099976,1540.599976
10/8/2009,1550,1560,1505,1510.75
10/9/2009,1518.099976,1524.849976,1471.349976,1480.300049
